MOVIE, YEAR, MALE MENTIONS, FEMALE MENTIONS
Pyaar Ka Punchnama 2,2015,18,16
Chalte Chalte (2003 film),2003,57,53
Anjaam (1994 film),1994,73,69
Jaani Dushman,1979,2,9
Krrish,2006,81,35
Gaman,1978,4,1
Fashion,2008,25,83
Queen,2014,0,90
Gurudev,1993,12,0
Aur Ek Prem Kahani,1996,5,3
Love,1991,13,12
Surakshaa,1979,3,0
Sadma,1983,11,26
Awara Paagal Deewana,2002,65,9
Dillagi (1978 film),1978,0,8
Baahubali,2015,66,26
Gulaal,2009,27,10
Jeene Do,1990,50,0
Tulsi,2008,15,5
Do Dooni Chaar,2010,0,1
Main Tulsi Tere Aangan Ki,1978,22,32
Darr,1993,48,28
Hum Hain Bemisaal,1994,60,4
Darwaaza Bandh Rakho,2006,10,7
Haider (film),2014,114,28
Meethi Meethi Baatein,1977,2,0
Nothing But Life,2004,3,0
Aashiqui.in,2011,4,38
Hawaa Hawaai,2014,38,0
Youngistaan,2014,16,0
ChaalBaaz,1989,0,9
Aashiqui 2,2013,64,67
Kshatriya,1993,91,24
Dil Hi To Hai,1992,20,3
Ghulami,1985,39,66
Ishqiya,2010,25,29
Ali Baba,1976,20,2
Main Aur Mera Haathi,1981,0,0
Awarapan,2007,117,72
Teesri Aankh,1982,13,14
Tere Mere Sapne,1971,39,10
Ab Ke Baras,2002,1,7
Life Mein Kabhie Kabhiee,2007,49,12
Aakrosh (2010 film),2010,16,5
Ugly Aur Pagli,2008,11,6
Tarkeeb,1984,0,0
Devaki,2006,20,9
Balwaan,1992,24,6
Buddha in a Traffic Jam,2016,9,0
Bbuddah... Hoga Terra Baap,2011,69,5
Fire,1996,22,37
Mumbai 125 KM 3D,2014,35,19
Shortcut Safari,2016,0,0
Lucky: No Time for Love,2005,20,13
Aaj Ka Dada,1985,2,0
Raman Raghav 2.0,2016,55,4
Aadmi Sadak Ka,1977,14,6
Ek Bechara,1972,58,22
Manorama Six Feet Under,2007,67,40
Khatta Meetha (2010 film),2010,83,11
Droh Kaal,1994,128,4
Abodh,1984,15,32
Kranti (2002 film),2002,26,5
Aatish: Feel the Fire,1994,26,2
Fareb,1983,0,0
404,2011,0,0
Mata Velankanni,1979,5,83
Flavours,2004,0,2
Purab Aur Paschim,1970,7,23
Jurm,2005,13,1
James,2005,6,0
36 China Town,2006,5,2
Solva Sawan,1979,18,3
Janam Kundli,1995,25,9
Awam (film),1987,13,5
Hawa,2003,0,10
Shaadi Se Pehle,2006,23,14
Ustadi Ustad Se,1981,7,13
China Gate,1998,16,4
Jab Tak Hai Jaan,2012,102,47
Zameer: The Fire Within,2005,26,51
Sonali Cable,2014,3,11
Naam (1986 film),1986,16,0
Bhoot,2003,50,41
Koi Mere Dil Se Poochhe,2002,42,43
Kishen Kanhaiya,1990,24,8
Ishq Ishq Ishq,1974,10,6
Do Knot Disturb,2009,37,78
Karzzzz,2008,11,29
Saheb  Biwi Aur Gangster Returns,2013,9,4
Vaah! Life Ho Toh Aisi!,2005,26,0
Delhi Safari,2012,53,10
Aladin,2009,90,14
Aakhree Raasta (1986 film),1986,18,15
Aaj Ka Arjun,1990,27,0
Rules: Pyaar Ka Superhit Formula,2003,1,0
Chase,2010,14,0
Aakraman,1975,0,0
Saheb Biwi Aur Gangster,2011,40,0
Roti,1974,7,0
Jhoom Barabar Jhoom,2007,27,26
Happy Ending (film),2014,12,57
A Flying Jatt,2016,62,4
Bandhan,1998,142,29
Road to Sangam,2010,4,0
Masterji,1985,0,26
Gangvaa,1984,4,1
Jhoota Kahin Ka,1979,19,5
Kismat,2004,16,3
Cinema Cinema,1979,133,10
