MOVIE, YEAR, MALE MENTIONS, FEMALE MENTIONS
Sanshodhan,1996,5,1
Fateh,1991,15,0
Dil Aashna Hai,1992,21,44
Tezaab,1988,125,19
Maya Memsaab,1993,13,12
Trimurti,1995,58,6
Heyy Babyy,2007,53,32
Aar Ya Paar,1997,23,1
Tum Mile,2009,25,16
Veerappan (2016 film),2016,20,0
Itihaas (film),1997,22,6
The Shaukeens,2014,43,23
Chori Chori Chupke Chupke,2001,22,44
It's a Wonderful Afterlife,2010,0,24
Jumbo,2008,65,4
Do Jasoos,1975,1,0
Mazloom,1986,1,9
Dahshat,1981,2,1
Khuda Kasam,2010,2,3
Yeshwant,1997,25,20
The Dirty Picture,2011,50,56
Numbri Aadmi,1991,0,0
Roja,1992,40,23
Silsiilay,2005,1,5
Beta,1992,60,73
Batwara,1989,71,11
Umrao Jaan,1981,8,22
Kucch To Hai,2003,67,25
Monica,2011,0,1
Rabba Main Kya Karoon,2013,11,0
Delhii Heights,2007,4,0
Ragini MMS 2,2014,60,26
Kahaani 2: Durga Rani Singh,2016,24,71
My Friend Pinto,2011,30,111
Mumbhai Connection,2014,0,0
Tohfa,1984,15,29
Jalpari: The Desert Mermaid,2012,2,13
Jugni (2016 film),2016,1,0
Besharam,1978,20,0
Kushti,2010,9,1
Neal 'n' Nikki,2005,20,18
Rock Dancer,1995,0,1
Akaash Vani,2013,34,68
Salaam Memsaab,1979,4,2
Aitbaar,1985,20,14
Naya Kadam,1984,81,39
Mere Baap Pehle Aap,2008,42,12
Aashiq Hoon Baharon Ka,1977,36,15
The Don (1995 film),1995,6,0
Raja Babu,1994,6,11
Tevar,2015,77,35
Paap Ko Jalaa Kar Raakh Kar Doonga,1988,18,3
Coolie No. 1,1995,13,0
Mumbai Delhi Mumbai,2014,1,10
Humpty Sharma Ki Dulhania,2014,45,61
Godam,1983,4,0
Hasee Toh Phasee,2014,37,55
Jai Kaali,1992,4,12
Boom,2003,0,7
Ek Baar Chale Aao,1983,24,5
The Pink Mirror,2003,9,0
Shaurya,2008,8,2
Mai...,2013,4,15
Speed (2007 film),2007,66,8
Chota Jadugar,2003,27,1
Chittagong (film),2012,44,1
Zakhmo Ka Hisaab,1993,17,2
Sanam,1997,30,1
Banarasi Babu (1997 film),1997,22,29
Bulandi (2000 film),2000,11,9
Khauff,2000,0,6
Thodasa Roomani Ho Jaayen,1990,0,9
Khudgarz,1987,93,7
Rihaee,1988,16,4
Khel (1992 film),1992,13,33
Shootout at Lokhandwala,2007,47,19
Baat Ban Gayi,2013,2,1
Sanam Tere Hain Hum,1992,4,19
Mr. and Mrs. Khiladi,1997,13,0
88 Antop Hill,2003,104,58
Farz (2001 film),2001,17,1
Prem Bandhan,1979,9,13
Jahan Jaaeyega Hamen Paaeyega,2007,0,3
Beqasoor,1980,2,2
Loafer,1973,15,6
Lootere,1993,4,0
Kunwara,2000,6,11
Super Model,2013,0,1
Devi Aur Durga,1992,0,1
Tamacha,1988,5,3
Jeans (1998 film),1998,63,28
Jeevan Mrityu,1970,15,5
Eight: The Power of Shani,2006,18,0
Khud-daar,1982,50,4
Taqdeer Ka Tamasha,1990,5,1
Te3n,2016,104,1
Chehraa,1999,0,15
Woodstock Villa,2008,34,24
Delhi Belly,2011,99,22
Gehri Chot: Urf - Door-Desh,1983,32,36
